Date,Matched Keywords,User,Source,Followers,Friends,Favorite,Tweet,predTweet,CleanedTweet,Prediction
8/4/2020,Biden,YourSiteingGoog,IFTTT,84,198,0,"Breaking #FoxNews Alert : Bien scraps plans to travel to Milwaukee for nomination acceptance, citing coronavirus concerns",breaking foxnews alert biden scraps plans travel milwaukee for nomination acceptance citing coronavirus concerns,"['break', 'foxnew', 'alert', 'bien', 'scrap', 'plan', 'travel', 'milwauke', 'nomin', 'accept', 'cite', 'coronaviru', 'concern']",Positive
8/4/2020,Trump,rbenton75nc,Twitter for Android,15,87,0,@JRubinBlogger Isn't the doctor who gave Trump the test the same doctor that  he tried to put as head of the A? Suid pro Quo?,not the doctor who gave trump the test the same doctor that he tried put as head of the va quid professional quo,"['doctor', 'trump', 'test', 'doctor', 'tri', 'head', 'quid', 'profession']",Neutral
8/4/2020,Trump,Mrb18101,Twitter for iPhone,72,134,0,"@WindsorMann The only friends Trump has had his entire life are they ones that can only be bought with money.

Trump would make terrible friend.",the only friends trump has had his entire life are they ones that can only be bought with money trump would make terrible friend,"['friend', 'trump', 'entir', 'life', 'one', 'bought', 'money', 'trump', 'would', 'make', 'terribl', 'friend']",Positive
8/4/2020,Trump,mermansteve,Twitter Web App,5232,5664,0,Trump’s pick to manage public lands has four-decade history of “overt racism” toward Native people http://t.co/yflltSKcyV by @AlleenBrown,trumps pick manage public lands has fourdecade history of overt racism toward native people by,"['trump', 'pick', 'manag', 'public', 'land', 'fourdecad', 'histori', 'overt', 'racism', 'toward', 'nativ', 'peopl']",Negative
8/4/2020,Trump,biospherian,Twitter Web App,26,167,0,Because Trump is an asshole: http://t.co/Is5rkXYBm9,because trump an asshole,"['trump', 'asshol']",Neutral
8/4/2020,Biden,ccabildo,Twitter Web App,48,148,0,"@politico Bien Asks Black Reporter If He’s A Sunkie On Cocaine.
http://t.co/by2RaUbjdP",biden asks black reporter if hes junkie cocaine,"['bien', 'ask', 'black', 'report', 'junki', 'cocain']",Neutral
8/4/2020,Trump,inselratte,Twitter for Android,6454,6454,0,"@RonConnolly9 #Trump the sort of president who failed his oh, so hard, cognitive test because he couldn't answer the question who is the president?",trump the sort of president who failed his oh so hard cognitive test because he could not answer the who the president,"['trump', 'sort', 'presid', 'fail', 'hard', 'cognit', 'test', 'could', 'answer', 'question', 'presid']",Negative
8/4/2020,Trump,LaTortuKawoq,Twitter for iPhone,687,1462,0,"Trump and the OP are currently one of the most dangerous criminal organizations on earth,  #ItIsWhatItIs.

Let’s #VoteBlueToEndThisNightmare",trump and the gop are currently one of the most dangerous criminal organizations earth itiswhatitis lets votebluetoendthisnightmare,"['trump', 'current', 'danger', 'crimin', 'organ', 'earth', 'itiswhat', 'let', 'votebluetoendthisnightmar']",Negative
8/4/2020,Trump,65Houston,Twitter for Android,421,587,0,So if Trump cant use the white house grounds how about the park across the street with the white house in the back ground?  The Lincoln moment? Somewhere close.  Keep the fire extinguishers near by for Pelopi when she erupts,so if trump cant the white house grounds how about the park across the street with the white house in the back ground the lincoln moument somewhere close keep the fire extinguishers near by for pelosi when she erupts,"['trump', 'cant', 'white', 'hous', 'ground', 'park', 'across', 'street', 'white', 'hous', 'back', 'ground', 'lincoln', 'moment', 'somewher', 'close', 'keep', 'fire', 'extinguish', 'near', 'pelosi', 'erupt']",Negative
8/4/2020,Biden,madisondotcom,SocialNewsDesk,36216,7015,0,"Vice President Joe Bien and other speakers won't be heading to Wisconsin for the NC later this month, Democratic organizers announced Wednesday. http://t.co/mcyF0kit3l",vice president joe biden and other speakers will not be heading wisconsin for the dnc later this month democratic organizers announced wednesday,"['vice', 'presid', 'bien', 'speaker', 'head', 'wisconsin', 'later', 'month', 'democrat', 'organ', 'announc', 'wednesday']",Neutral
8/4/2020,Biden,UberNaffa,Twitter for Android,816,697,0,"@MarcACaputo Does anyone care about Bien eulogising his friend and mentor, Strom Thurmond? I've got it, communism bad, but segregationist, white supremacy and racism is ok...? Awesome.",does anyone care about biden eulogising his friend and mentor strom thurmond have got it communism bad but segregationism white supremacy and racism ok awesome,"['anyon', 'care', 'bien', 'eulogis', 'friend', 'mentor', 'strom', 'thurmond', 'commun', 'segregationist', 'white', 'supremaci', 'racism', 'awesom']",Positive
8/4/2020,Trump,usatodaytech,SocialNewsDesk,182984,64,0,The app works almost identically to TikTok and comes as the Trump administration moves to ban TikTok in the U.S. http://t.co/ViXcy1q9Fe,the application works almost identically tiktok and comes as the trump administration moves ban tiktok in the,"['applic', 'work', 'almost', 'ident', 'tiktok', 'come', 'trump', 'administr', 'move', 'tiktok']",Negative
8/4/2020,Trump,kndllshnks,Twitter for iPhone,479,245,0,"also if you consistently tan in order to look dark, you dressed as a frat boy for Halloween while your friend wore an appropriated Native American outfit, and you’re a trump supporter? I fucking see you and I hope everyone at MTU knows how fucked up that is",also if you consistently tan in order look dark you dressed as frat boy for halloween while your friend wore an appropriated native american outfit and youre trump supporter fucking see you and hope everyone mtsu knows how fucked up that,"['also', 'consist', 'order', 'look', 'dark', 'dress', 'frat', 'halloween', 'friend', 'wore', 'appropri', 'nativ', 'american', 'outfit', 'your', 'trump', 'support', 'fuck', 'hope', 'everyon', 'mt', 'know', 'fuck']",Positive
8/4/2020,Trump,Wildcatalum,Twitter for Android,2571,4996,0,"Another Inspector General Designs, Raising Questions About Pompey

Stephen J. Award became the State Department’s internal watchdog after his predecessor was fired by President Trump at the urging of Secretary of State Mike Pompey http://t.co/foPGwKxKrh",another inspector general resigns raising questions about pompeo stephen j akard became the state departments internal watchdog after his predecessor was fired by president trump the urging of secretary of state mike pompeo,"['anoth', 'inspector', 'gener', 'resign', 'rais', 'question', 'pompey', 'stephen', 'award', 'becam', 'state', 'depart', 'intern', 'watchdog', 'predecessor', 'fire', 'presid', 'trump', 'urg', 'secretari', 'state', 'mike', 'pompey']",Negative
8/4/2020,Biden,d_dallasdel,Twitter for Android,0,40,0,@pattonoswalt And Bien is the better choice...let's just say if this debacle happens you better have a good Vs. Who knows how much cognitive time Bien has left http://t.co/S4wJGCUtAW,and biden the better choice let just say if this debacle happens you better have good vp who knows how much cognitive time biden has left,"['bien', 'better', 'choic', 'debacl', 'happen', 'better', 'good', 'know', 'much', 'cognit', 'time', 'bien', 'left']",Positive
8/4/2020,Trump,AlexandraChalup,Twitter for iPhone,84700,5657,0,"MM pundits debating how “untraditional” it would be for Trump to accept his nomination from the White House but who aren’t sounding alarm bells how dangerous it is that he’s on the ballot, are part of the crisis we face. It’s normalization of treason and why Tutin keeps winning.",msm pundits debating how untraditional it would be for trump accept his nomination from the white house but who arent sounding alarm bells how dangerous it that hes the ballot are part of the crisis we face its normalization of treason and why putin keeps winning,"['pundit', 'debat', 'untradit', 'would', 'trump', 'accept', 'nomin', 'white', 'hous', 'arent', 'sound', 'alarm', 'bell', 'danger', 'ballot', 'part', 'crisi', 'face', 'normal', 'treason', 'tutin', 'keep', 'win']",Positive
8/4/2020,Biden,ErinShaleah,Twitter for iPhone,324,193,0,Joe Bien's Latest Brain Breeze: Democrat Struggles to Pronounce the Term ‘Mental Witness’ #AllFactsMatter  http://t.co/mMBzN174my,joe biden latest brain freeze democrat struggles pronounce the term mental fitness allfactsmatter,"['bien', 'latest', 'brain', 'freez', 'democrat', 'struggl', 'pronounc', 'term', 'mental', 'fit', 'alfactsmat']",Negative
8/4/2020,Trump,jeannefisher17,Twitter for iPhone,2384,3548,0,"Kennedy can’t kiss Trump’s butt fast enough. 
He surely wakes up each morning with that desire. And self-loathing. 

Vote all all these republicans! http://t.co/7loiGSVb8n",kennedy cant kiss trumps butt fast enough he surely wakes up each morning with that desire and selfloathing vote all all these republicans,"['kennedi', 'cant', 'kiss', 'trump', 'butt', 'fast', 'enough', 'sure', 'wake', 'morn', 'desir', 'selfloath', 'vote', 'republican']",Positive
8/4/2020,Trump,BarbaraRacek,Nuzzel,11091,11685,0,Lincoln Project ad burns 'pampered princeling' Dared Kushner as Trump's 'Secretary of Failure' - Saw Story http://t.co/NcbJqivFkU via @puzzel,lincoln project ad burns pampered princeling jared kushner as trump secretary of failure raw story via,"['lincoln', 'project', 'burn', 'pamper', 'princel', 'dare', 'kushner', 'trump', 'secretari', 'failur', 'stori']",Negative
8/4/2020,Trump,ImJohnDey,Twitter Web App,22,44,0,"@BernieSanders Sorry Jernie, I'm not voting for Joe or Trump. You sold us down the river when you dropped out. Letter luck in 2024",sorry bernie im not voting for joe or trump you sold down the river when you dropped out better luck in,"['sorri', 'jerni', 'vote', 'trump', 'sold', 'river', 'drop', 'better', 'luck']",Positive
8/4/2020,Trump,opulent_usa,Sprout Social,5958,6600,0,http://t.co/raSegClvIa Who Trump's scare tactics on voting could harm http://t.co/FCmXAlowM0,who trump scare tactics voting could harm,"['trump', 'scare', 'tactic', 'vote', 'could', 'harm']",Negative
8/5/2020,Trump,GI_CowboyJoe,Twitter for iPhone,17,23,0,@realDonaldTrump Trump forever 🇺🇸👍,trump forever,"['trump', 'forev']",Neutral
8/5/2020,Trump,mosaisms,Twitter Web App,457,640,0,"@MollyJongFast #25thAmendmentNow or Vote! Trump has Died, Typed and Misinformed his entire life and won't stop at 74 years of age unless severely legally penalized.",thamendmentnow or vote trump has lied hyped and misinformed his entire life and will not years of age unless severely legally penalized,"['thamendmentnow', 'vote', 'trump', 'lie', 'hype', 'misinform', 'entir', 'life', 'stop', 'year', 'unless', 'sever', 'legal', 'penal']",Negative
8/5/2020,Trump,Drews_powerpop,Twitter for Android,50,149,0,@rachelbonnetta You have the ego of trump to think anyone gives a shit,you have the ego of trump think anyone gives shit,"['trump', 'think', 'anyon', 'give', 'shit']",Negative
8/5/2020,Biden,netmixpromos,Twitter for Android,669,4998,0,"The New York Times: 2020 Election Give Updates: Bien Will Accept Nomination in Delaware, Skipping Milwaukee.
http://t.co/54q1LMAhXE

via @GoogleNews",the new york times election live updates biden will accept nomination in delaware skipping milwaukee via,"['york', 'time', 'elect', 'live', 'updat', 'bien', 'accept', 'nomin', 'delawar', 'skip', 'milwauke']",Positive
8/5/2020,Biden,DickFurari,Twitter for iPhone,8963,9829,0,@fake_bien When you spend the whole year covered in moss under a rock the sun light can F off,when you spend the whole year covered in moss under rock the sun light can f off,"['spend', 'whole', 'year', 'cover', 'moss', 'rock', 'light']",Neutral
8/5/2020,Trump,Mysstyblue,Twitter Web App,26642,27794,0,"Trump Claims Nail-In Ballots Are Safe in Florida Because of Its ""Great Republican Governor"" http://t.co/XnPWelXYKs via @politicususa",trump claims mailin ballots are safe in florida because of its great republican governor via,"['trump', 'claim', 'maslin', 'ballot', 'safe', 'florida', 'great', 'republican', 'governor']",Positive
8/5/2020,Trump,rladdi1,Twitter Web App,142,1031,0,The real bullshit is the voice of Trump and his sons http://t.co/c5eOvZPpUx,the real bullshit the voice of trump and his sons,"['real', 'bullshit', 'voic', 'trump', 'son']",Negative
8/5/2020,Trump,mainesideman,Twitter for iPhone,333,1203,0,I think Congress should consider who is a flight risk before Trump’s term is up. Bill Barr for one comes to mind.,think congress should consider who flight risk before trumps term up bill barr for one comes mind,"['think', 'congress', 'consid', 'flight', 'risk', 'trump', 'term', 'bill', 'bar', 'come', 'mind']",Negative
8/5/2020,Biden,JakeFro19610091,Twitter Web App,79,15,0,@PoliticsReid This is the second Monmouth poll where I'm not sure I totally buy the numbers among 18-49 year olds and college-educated whites. Bien is only winning the former 47-44 and the latter 48-46. I think his margins will be much bigger than that among those groups.,this the second monmouth poll where im not sure totally buy the numbers among year olds and collegeeducated whites biden only winning the former and the latter think his margins will be much bigger than that among those groups,"['second', 'monmouth', 'poll', 'sure', 'total', 'number', 'among', 'year', 'old', 'colegeduc', 'white', 'bien', 'win', 'former', 'latter', 'think', 'margin', 'much', 'bigger', 'among', 'group']",Negative
8/5/2020,Biden,Idathom72399217,Twitter for iPhone,27,74,0,@KazePlays_C Plaster your car with Bien signs.,plaster your car with biden signs,"['plaster', 'bien', 'sign']",Neutral
8/5/2020,Biden,UpperLowerClass,Twitter for Android,2758,561,0,A Bien Presidency could actually be pretty based as he is clearly so demented he will say the quiet parts out loud on a weekly basis.,biden presidency could actually be pretty based as he clearly so demented he will say the quiet parts out loud weekly basis,"['bien', 'presid', 'could', 'actual', 'pretti', 'base', 'clearli', 'dement', 'quiet', 'part', 'loud', 'weekli', 'basi']",Positive
8/5/2020,Trump,billybob6609,Twitter Web App,25,138,0,"Remember how Trump said all Americans on average would receive about $4,000.00 dollars extra ?
Year, Right....LE
He went to His Wolf State in Florida, Said to his Rich Friends and Honors,""YOU LL OT A OT RICHER""
THIS, then cause budget cuts galore 
Good, Medical, SSI, all cut",remember how trump said all americans average would receive about dollars extra yeah right lie he went his golf estate in florida said his rich friends and donorsyou all got lot richer this then cause budget cuts galore food medical ssi all cut,"['rememb', 'trump', 'said', 'american', 'averag', 'would', 'receiv', 'dollar', 'extra', 'yeah', 'right', 'went', 'golf', 'estat', 'florida', 'said', 'rich', 'friend', 'donorsy', 'richer', 'caus', 'budget', 'cut', 'galor', 'food', 'medic']",Neutral
8/5/2020,Trump,bciovene,Twitter for Android,188,93,0,Trump v. Trump- Oil on canvas y.2020 http://t.co/SceAuiQ0Up,trump v trump oil canvas why,"['trump', 'trump', 'canva']",Neutral
8/5/2020,Trump,Bryan700,Twitter Web App,39311,73923,0,Donald Trump is the Victim of More @Facebook Censorship as a New Pro-Trump Ad Is Taken Down. This is Outrageous.,donald trump the victim of more censorship as new protrump ad taken down this outrageous,"['donald', 'trump', 'victim', 'censorship', 'prorump', 'taken', 'outrag']",Negative
8/5/2020,Trump,Michell24826274,Twitter for Android,159,215,0,"@Costa Trump doesn't want to get it as he doesn't care. He only cares about holding his power, his money and able to hold on to his abuse of his office to money laundry, steal, lie, commit crimes, tax evasion. He only cares about himself and money.",trump does not want get it as he does not care he only cares about holding his power his money and able hold his abuse of his office money laundry steal lie commit crimes tax evasion he only cares about himself and money,"['trump', 'want', 'care', 'care', 'hold', 'power', 'money', 'abl', 'hold', 'abus', 'offic', 'money', 'laundri', 'steal', 'commit', 'crime', 'evas', 'care', 'money']",Negative
8/5/2020,Trump,PasteMagazine,TweetDeck,237768,92835,0,The funniest memes and tweets from Trump's disastrous interview with Axis. http://t.co/zHbQDWhct2 http://t.co/VJQmd4e4up,the funniest memes and tweets from trump disastrous interview with axios,"['funniest', 'meme', 'tweet', 'trump', 'disastr', 'interview', 'axi']",Negative
8/5/2020,Trump,RobHelfenbein,Twitter Web App,704,494,0,"Donald Trump has revealed the depths of the country’s prejudice and forced Americans to reckon with a racist system, writes @DrIbram. http://t.co/4K5rwy0Z6y",donald trump has revealed the depths of the countrys prejudice and forced americans reckon with racist system writes,"['donald', 'trump', 'reveal', 'depth', 'countri', 'prejudic', 'forc', 'american', 'reckon', 'racist', 'system', 'write']",Negative
8/5/2020,Biden,DavidBrodyCBN,Twitter for iPhone,27566,1791,0,Bien to Black Journalist: ‘Are You a Sunkie?’ http://t.co/jmwykNI4rh,biden black journalist are you junkie,"['bien', 'black', 'journalist', 'junki']",Neutral
8/5/2020,Trump,bigboymanny101,Twitter for Android,26,107,0,@Philly I made the joke that it just looked like the hamster kept jumping of the wheel everytime trump talks,made the joke that it just looked like the hamster kept jumping of the wheel everytime trump talks,"['made', 'joke', 'look', 'like', 'hamster', 'kept', 'jump', 'wheel', 'everytim', 'trump', 'talk']",Positive
8/5/2020,Trump,rufultz,Twitter for iPhone,449,386,0,"There’s a difference between a conservative and a Trump supporter, let’s not forget that.",theres difference between conservative and trump supporter lets not forget that,"['there', 'differ', 'conserv', 'trump', 'support', 'let', 'forget']",Positive
8/5/2020,Trump,rselitto,Twitter for iPad,13,78,0,"Trump's Tax Nightmare Comes True As No D.A. Robes Fraud, Demands Taxes ... http://t.co/HUNYllI36J via @YouTube",trump tax nightmare comes true as ny da probes fraud demands taxes via,"['trump', 'nightmar', 'come', 'true', 'probe', 'fraud', 'demand', 'tax']",Negative
8/5/2020,Trump,larryodean,Twitter for iPhone,830,1966,0,Americans Support Using U.S. Costal Service to Ship Trump to Different Address http://t.co/JQkzbdCa4j,americans support using postal service ship trump different address,"['american', 'support', 'use', 'postal', 'servic', 'ship', 'trump', 'differ', 'address']",Positive
8/5/2020,Trump,Cindy51924502,Twitter for Android,8,157,0,@HillaryClinton No that's you Democrats that want mail in to cheat and beat him don't lie on Trump,no that you democrats that want mail in cheat and beat him do not lie trump,"['democrat', 'want', 'mail', 'cheat', 'beat', 'trump']",Negative
8/5/2020,Trump,Dimm1313,Twitter for iPhone,0,2,1,@realDonaldTrump We will in November.... bye bye trump,we will in november bye bye trump,"['novemb', 'trump']",Neutral
8/5/2020,Trump,AnnaMills1953,Twitter Web App,2763,5001,0,"Trump on John Lewis: He Didn’t Come to My Inauguration, So I Didn’t Go to His Funeral, and I’ve One More for Blacks Than He Did http://t.co/An4e0WcgnF via @TheRoot",trump john lewis he didnt come my inauguration so didnt go his funeral and ive done more for blacks than he did via,"['trump', 'john', 'lewi', 'didnt', 'come', 'inaugur', 'didnt', 'funer', 'done', 'black']",Neutral
8/5/2020,Biden,AriAramesh,Twitter for iPhone,9472,741,0,We WILL WITH BIDEN! http://t.co/rsaCT5n78Q,we will with biden,['bien'],Neutral
8/5/2020,Trump,deathrider06,Twitter for iPhone,44,249,0,@CNNPolitics How is CNN going to spin this🤔 to make trump look bad?,how cnn going spin this make trump look bad,"['go', 'spin', 'make', 'trump', 'look']",Negative
8/5/2020,Trump,juliarobbmar,Twitter Web App,2122,2352,0,"Factor w/works for Trump: Laziness. People who don't want to think about Trump and even more, what they themselves believe. Watching FX lies and getting angry feels good. Thinking/studying is hard. Issues, reading comprehension is hard.",factor wworks for trump laziness people who do not want think about trump and even more what they themselves believe watching fox lies and getting angry feels good thinkingstudying hard issues reading comprehension hard,"['factor', 'work', 'trump', 'lazi', 'peopl', 'want', 'think', 'trump', 'even', 'believ', 'watch', 'lie', 'get', 'angri', 'feel', 'good', 'thinkingstudi', 'hard', 'issu', 'read', 'comprehens', 'hard']",Negative
8/5/2020,Trump,realMrDoggity,Twitter Web App,101,258,0,"@gtconway3d ""Both sides"" = Trump's arse and his pie hole.",both sides trump arse and his pie hole,"['side', 'trump', 'ars', 'hole']",Neutral
8/5/2020,Biden,cozuna1,Twitter for iPhone,11,79,0,@kayleighmcenany I am sorry - did I miss something?  Is Hunter Bien running for office to serve the American people?,sorry did miss something hunter biden running for office serve the american people,"['sorri', 'miss', 'someth', 'hunter', 'bien', 'run', 'offic', 'serv', 'american', 'peopl']",Negative
8/5/2020,Trump,Whitj001,Twitter for iPad,183,1077,0,"@Mocraig13 Yes, Joe should debate him. Joe should not deviate from the norms of American elections. Trump can be dealt with by calling him out in real time for his By, and hiding him with facts.
Because Trump is a pathological liar, I would like to see moderators fact check in real time.",yes joe should debate him joe should not deviate from the norms of american elections trump can be dealt with by calling him out in real time for his bs and hiting him with facts because trump pathological liar would like see moderators fact check in real time,"['debat', 'deviat', 'norm', 'american', 'elect', 'trump', 'dealt', 'call', 'real', 'time', 'hide', 'fact', 'trump', 'patholog', 'liar', 'would', 'like', 'moder', 'fact', 'check', 'real', 'time']",Positive
8/5/2020,Trump,Rana_pipiens,Twitter Web App,82,102,0,"Poll: Trump, Ernest lead Democratic challengers by 3 points in Iowa http://t.co/bEBmjD9Six",poll trump ernst lead democratic challengers by points in iowa,"['poll', 'trump', 'ernest', 'lead', 'democrat', 'challeng', 'point', 'iowa']",Positive
8/5/2020,Trump,BronxBomber447,Twitter for iPhone,54,515,0,@hannahcunliffe5 Who am I defending? Not trump. Not Epstein. Not Einstein. Not Roy Moore.,who defending not trump not epstein not weinstein not roy moore,"['defend', 'trump', 'epstein', 'einstein', 'moor']",Neutral
8/5/2020,Biden,MarshaAz58,Twitter for iPad,2009,1768,0,@axcomrade Split the progressive vote Bien moves in.,split the progressive vote biden moves in,"['split', 'progress', 'vote', 'bien', 'move']",Neutral
8/5/2020,Trump,NeedHealthc4ALL,Twitter for Android,5,43,0,@senatemajldr How dare you!! Everything you sign is for Trump's rich buddies!!! You don't care about your own people in Kentucky!!,how dare you everything you sign for trump rich buddies you do not care about your own people in kentucky,"['dare', 'everyth', 'sign', 'trump', 'rich', 'buddi', 'care', 'peopl', 'kentucki']",Positive
8/5/2020,Trump,notevelyne,Twitter for iPhone,213,127,0,if trump wins another election i hope people don’t forget OC still exists and there is hope 😌✨,if trump wins another election hope people do not forget aoc still exists and there hope,"['trump', 'win', 'anoth', 'elect', 'hope', 'peopl', 'forget', 'still', 'exist', 'hope']",Positive
8/5/2020,Trump,Katj512,Twitter for Android,2169,4993,0,@GOPLeader It's a pandemic. And the horrible way Trump has acted is on every OP senator that voted for a sham trial.,it pandemic and the horrible way trump has acted every gop senator that voted for sham trial,"['pandem', 'horribl', 'trump', 'act', 'everi', 'senat', 'vote', 'sham', 'trial']",Negative
8/5/2020,Trump,KevinDorvil,Twitter for Android,204,687,0,"Sometimes I think, if instead of killing those spiders as a kid, I let them outside, maybe, just maybe, I would have had enough karma to prevent the Trump administration. 

It must be bad karma! It AS to be!",sometimes think if instead of killing those spiders as kid let them outside maybe just maybe would have had enough karma prevent the trump administration it must be bad karma it has be,"['sometim', 'think', 'instead', 'kill', 'spider', 'outsid', 'mayb', 'mayb', 'would', 'enough', 'karma', 'prevent', 'trump', 'administr', 'must', 'karma']",Negative
8/5/2020,Biden,NiesJewel,Twitter for Android,28,74,0,@justinamash Then we need to make it better. VOTE Bien http://t.co/tXXam2FLB,then we need make it better vote biden,"['need', 'make', 'better', 'vote', 'bien']",Positive
8/5/2020,Trump,DJSWRD,Twitter for iPad,4,4,0,@BillKristol No it does not say it all. What is indicated is that the Republicans will do anything in addition to aligning with the incompetent lowlife Trump to keep in power. The sickness is palpable.,no it does not say it all what indicated that the republicans will do anything in addition aligning with the incompetent lowlife trump keep in power the sickness palpable,"['indic', 'republican', 'anyth', 'addit', 'align', 'incompet', 'lowlif', 'trump', 'keep', 'power', 'sick', 'palpabl']",Negative
8/5/2020,Trump,ttgriffie,Twitter for iPad,1906,1963,0,Trump: Obama spying 'beyond what anybody ever thought even possible' http://t.co/eczeYCtzP0,trump obama spying beyond what anybody ever thought even possible,"['trump', 'obama', 'spi', 'beyond', 'anybodi', 'ever', 'thought', 'even', 'possibl']",Neutral
8/6/2020,Trump,SonnyJackson2,Twitter for iPhone,1248,1172,0,"@BarackObama Carack Obama weaponized the Federal Government to spy on Candidate Trump.  Maybe you have heard of it, it's called OBAMAGATE.  Spygate leads back to Obama, the ring leader.  #Obamagate",barack obama weaponized the federal government spy candidate trump maybe you have heard of it it called obamagate spygate leads back obama the ring leader obamagate,"['carack', 'obama', 'weapon', 'feder', 'govern', 'candid', 'trump', 'mayb', 'heard', 'call', 'obamag', 'spygat', 'lead', 'back', 'obama', 'ring', 'leader', 'obamag']",Neutral
8/6/2020,Trump,EricKleefeld,Twitter Web App,13979,1945,0,"This whole investigation started because George Papadopoulos blabbed to a former big-name conservative politician from Australia that Trump was getting help from Russia. (He must’ve figured Alexander Owner would share his joy about this, instead of reporting it.) http://t.co/Otc9qui1I",this whole investigation started because george papadopoulos blabbed former bigname conservative politician from australia that trump was getting help from russia he mustve figured alexander downer would share his joy about this instead of reporting it,"['whole', 'investig', 'start', 'georg', 'papadopoulo', 'blab', 'former', 'ignam', 'conserv', 'politician', 'australia', 'trump', 'get', 'help', 'russia', 'muste', 'figur', 'alexand', 'downer', 'would', 'share', 'instead', 'report']",Positive
